VPVS_RATIO,P_IMPEDANCE,PHI
1.7733,14979493.0,0.0029
1.7712,15060692.0,0.0063
1.7705,15090712.0,0.0076
1.7755,15159827.0,0.0142
1.7837,15214499.0,0.0251
1.7882,15212243.0,0.0269
1.7953,15208588.0,0.0298
1.8143,15166552.0,0.0376
1.8426,15070591.0,0.0399
1.8485,15052168.0,0.0403
1.8887,14926832.0,0.0435
1.8351,14641580.0,0.0448
1.7815,14382624.0,0.0461
1.7508,14234529.0,0.0469
1.7296,14225812.0,0.0492
1.6948,14247463.0,0.053
1.6969,14285511.0,0.0536
1.7046,14424535.0,0.0555
1.7211,14711532.0,0.0595
1.7256,14773700.0,0.0603
1.7258,14774701.0,0.0604
1.7332,14812955.0,0.0616
1.744,14786520.0,0.061
1.7535,14742559.0,0.0605
1.7619,14703314.0,0.0601
1.7743,14636389.0,0.0581
1.7947,14549997.0,0.0549
1.7944,14544856.0,0.0548
1.7887,14447830.0,0.0513
1.7790000000000001,14349358.0,0.0454
1.7658,14394094.0,0.0415
1.7639,14400405.0,0.040999999999999995
1.7388,14518034.0,0.0338
1.7416,14617135.0,0.0296
1.7436,14676019.0,0.0267
1.7463,14755581.0,0.0228
1.7626,14824502.0,0.0205
1.7878,14914258.0,0.017
1.7897,14921119.0,0.0167
1.7759,14921143.0,0.0163
1.7532,14899506.0,0.0158
1.7509,14875134.0,0.016
1.7499,14865215.0,0.0161
1.7445,14790745.0,0.0166
1.7331,14785930.0,0.0166
1.7269999999999999,14774295.0,0.0166
1.7144,14750235.0,0.0166
1.7314,14739449.0,0.0171
1.7547,14719356.0,0.0179
1.7596,14715160.0,0.018000000000000002
1.7628,14668638.0,0.0196
1.7681,14651148.0,0.0221
1.7682,14658272.0,0.0243
1.7683,14664279.0,0.0261
1.7687,14745077.0,0.0327
1.7684,14794643.0,0.038
1.7684,14815328.0,0.0399
1.7681,14886906.0,0.0466
1.775,15014584.0,0.0503
1.7834,15133078.0,0.0547
1.7866,15178129.0,0.0564
1.787,15202068.0,0.0589
1.7876,15200471.0,0.0629
1.7875,15163875.0,0.0636
1.7872,15103551.0,0.0649
1.7864,14949880.0,0.0681
1.7884,14811377.0,0.0698
1.7888,14784979.0,0.0702
1.7915,14599625.0,0.0727
1.7898,14481194.0,0.0732
1.7882,14372000.0,0.0736
1.7872,14307430.0,0.0738
1.7849,14281313.0,0.0727
1.7812,14259819.0,0.071
1.7812,14276144.0,0.0705
1.7813,14338079.0,0.0687
1.7815,14468410.0,0.065
1.777,14544851.0,0.0633
1.7768,14547690.0,0.0632
1.7694,14674289.0,0.0604
1.7705,14800044.0,0.0612
1.7714,14904578.0,0.0619
1.7722,15000638.0,0.0625
1.7732,15087131.0,0.0641
1.7748,15223770.0,0.0668
1.7761,15227267.0,0.0669
1.8071,15305831.0,0.0679
1.861,15414628.0,0.0696
1.8283,14932192.0,0.0723
1.8236,14862301.0,0.0727
1.7675,14007422.0,0.0779
1.7478,13529914.0,0.0802
1.7348,13218219.0,0.0818
1.7180000000000002,12814246.0,0.084
1.6729,12351095.0,0.084
1.6099,11715063.0,0.084
1.6051,11666201.0,0.084
1.5806,11539259.0,0.0827
1.5414,11341783.0,0.0806
1.5701,11840646.0,0.0785
1.5830000000000002,12065254.0,0.0776
1.6645,13464805.0,0.0726
1.6864,13970423.0,0.0678
1.6986,14243341.0,0.0653
1.7262,14858691.0,0.0599
1.7552,15120573.0,0.0548
1.7963,15462850.0,0.048
1.8054,15538657.0,0.0465
1.8056,15827360.0,0.0419
1.8058,16376467.0,0.0343
1.8094,16529893.0,0.0327
1.8126,16665359.0,0.0314
1.8244,17261924.0,0.0266
1.8417,17524088.0,0.026000000000000002
1.848,17633490.0,0.0258
1.8712,18030132.0,0.025
1.8817,18179396.0,0.025
1.8943,18335426.0,0.0251
1.8992,18396008.0,0.0251
1.8986,18419556.0,0.0249
1.8977,18399474.0,0.0245
1.8968,18387512.0,0.0244
1.8951,18367092.0,0.0243
1.8908,18317296.0,0.024
1.8844,18249934.0,0.0238
1.8831,18236858.0,0.0237
1.8739,18140522.0,0.0234
1.8813,18142274.0,0.0232
1.889,18127024.0,0.023
1.8937,18117716.0,0.0229
1.8987,18079004.0,0.0229
1.9069,17953022.0,0.0229
1.9122,17938192.0,0.0229
1.9333,17880064.0,0.0229
1.9768,17730482.0,0.0229
1.9935,17725090.0,0.023
1.994,17725696.0,0.023
2.0213,17761226.0,0.0231
2.0445,17784472.0,0.0235
2.0645,17840940.0,0.0239
2.0831,17893504.0,0.0242
2.0957,17948664.0,0.0255
2.1168,18101378.0,0.0275
2.1167,18102322.0,0.0275
2.1147,18128364.0,0.0286
2.1113,18203868.0,0.0306
2.0593,17999840.0,0.0313
2.0511,17967828.0,0.0314
1.956,17602004.0,0.0328
1.8894,17120486.0,0.0326
1.8458,16800716.0,0.0324
1.7881,16377422.0,0.0322
1.771,16004589.0,0.032
1.7466,15421824.0,0.0317
1.7446,15373629.0,0.0316
1.7288,15183145.0,0.0313
1.7036,14807532.0,0.0307
1.7091,14868957.0,0.0303
1.7115,14896009.0,0.0302
1.7247,14987412.0,0.0293
1.7461,15248243.0,0.0278
1.7577,15422486.0,0.027000000000000003
1.7836,15811948.0,0.0253
1.7990000000000002,15982817.0,0.0232
1.8204,16345615.0,0.0204
1.8252,16427143.0,0.0198
1.8361,16654826.0,0.0195
1.8545,17000072.0,0.019
1.8476,17053276.0,0.0199
1.8414,17100732.0,0.0207
1.8196,17080752.0,0.0234
1.8368,17138134.0,0.0257
1.8430000000000002,17138530.0,0.0265
1.8657,17139940.0,0.0295
1.8733,17104074.0,0.0319
1.8824,17167624.0,0.0348
1.886,17192720.0,0.0359
1.8865,17106112.0,0.0381
1.8872,17085136.0,0.0416
1.8824,17044312.0,0.0415
1.874,16973134.0,0.0412
1.8528,16850212.0,0.0406
1.8327,16785418.0,0.0401
1.829,16779704.0,0.04
1.8005,16736478.0,0.0394
1.7977,16879576.0,0.0388
1.7949,17021480.0,0.0382
1.7931,17109894.0,0.0378
1.7908,17230424.0,0.0372
1.787,17298750.0,0.0363
1.7871,17307072.0,0.0362
1.7873,17341292.0,0.0358
1.7877,17254132.0,0.0351
1.7966,17260142.0,0.0348
1.7968,17259930.0,0.0348
1.8114,17243660.0,0.0342
1.8177,17204886.0,0.0339
1.8231,17195162.0,0.0337
1.8282,17185920.0,0.0335
1.8273,17088828.0,0.0325
1.8258,16959194.0,0.0311
1.8259,16958552.0,0.0309
1.8306,16936318.0,0.0271
1.8385,16989918.0,0.0204
1.8387,17001106.0,0.0179
1.8388,17002974.0,0.0175
1.8391,17113416.0,0.0126
1.8354,17143912.0,0.0115
1.8328,17164624.0,0.0107
1.8292,17193732.0,0.0096
1.8286,17263890.0,0.0083
1.8276,17275956.0,0.0062
1.8275,17277012.0,0.0061
1.8284,17328754.0,0.0053
1.8298,17358920.0,0.0042
1.8301,17378628.0,0.006
1.8302,17387600.0,0.0069
1.831,17500186.0,0.0113
1.8313,17532764.0,0.0129
1.8315,17571064.0,0.0138
1.8319,17655192.0,0.0157
1.8317,17692626.0,0.016
1.8315,17758248.0,0.0165
1.8315,17773086.0,0.0166
1.8398,17881526.0,0.0178
1.8535,18005908.0,0.0199
1.8553,18040316.0,0.02
1.8569,18071896.0,0.0202
1.8625,18128732.0,0.0206
1.8604,18116112.0,0.0222
1.8597,18110556.0,0.0227
1.8569,18089944.0,0.0248
1.8559,18059366.0,0.0267
1.8547,18038962.0,0.0289
1.8542,18030784.0,0.0297
1.8407,17902750.0,0.0295
1.819,17696320.0,0.0292
1.8137,17687692.0,0.028999999999999998
1.8041,17672046.0,0.0288
1.7798,17604916.0,0.0283
1.7791,17643062.0,0.0273
1.7790000000000001,17647496.0,0.0271
1.7779,17683288.0,0.0256
1.7867,17741234.0,0.0241
1.7955,17789276.0,0.0227
1.8012,17819938.0,0.0217
1.8186,17842118.0,0.0198
1.8474,17859006.0,0.0166
1.848,17849850.0,0.0163
1.8506,17810388.0,0.0149
1.8558,17725298.0,0.0123
1.8506,17509848.0,0.0133
1.8505,17506726.0,0.0133
1.8422,17178918.0,0.015
1.8278,16980150.0,0.0186
1.8159999999999998,16823036.0,0.0216
1.8048,16675201.0,0.0244
1.8043,16548442.0,0.027999999999999997
1.8036,16362793.0,0.0338
1.8034,16360055.0,0.0339
1.796,16239687.0,0.0372
1.7837,16027300.0,0.0427
1.7802,15970627.0,0.0461
1.7796,15960517.0,0.0466
1.7728,15843205.0,0.0531
1.768,15809386.0,0.0557
1.7648,15797804.0,0.0575
1.7601,15781182.0,0.0601
1.7531,15698386.0,0.0618
1.7426,15618163.0,0.0643
1.7416,15610500.0,0.0645
1.7473,15566503.0,0.0655
1.7567,15526452.0,0.0671
1.7567,15524995.0,0.0669
1.7567,15524287.0,0.0668
1.7567,15480634.0,0.0663
1.7593,15468827.0,0.0648
1.7607,15447106.0,0.064
1.7637,15398559.0,0.0623
1.7786,15472835.0,0.0629
1.7988,15531217.0,0.0639
1.8036,15544910.0,0.0641
1.7968,15425518.0,0.0707
1.7859,15241333.0,0.0815
1.7835,15177467.0,0.0877
1.7813,15117665.0,0.0935
1.774,14944584.0,0.1132
1.7765,14872396.0,0.1202
1.7774,14850358.0,0.1226
1.7806,14766777.0,0.1318
1.7988,14785382.0,0.126
1.8202,14791338.0,0.1192
1.829,14793795.0,0.1164
1.8186,14761842.0,0.1079
1.8016,14689842.0,0.0941
1.7999,14662275.0,0.09300000000000001
1.7967,14610913.0,0.0909
1.7886,14500397.0,0.0857
1.7824,14445927.0,0.0845
1.7813,14438270.0,0.0843
1.7723,14374173.0,0.0826
1.7716,14384388.0,0.0805
1.771,14406152.0,0.0783
1.7706,14420219.0,0.0769
1.7844,14542423.0,0.0738
1.8077,14758198.0,0.0687
1.8090000000000002,14762872.0,0.0683
1.8147,14783985.0,0.0662
1.8262,14821842.0,0.0621
1.8224,14689704.0,0.0619
1.8223,14688512.0,0.0619
1.8162,14458288.0,0.0615
1.8081,14341160.0,0.0632
1.8015,14238791.0,0.0646
1.7951,14140420.0,0.066
1.7797,14014959.0,0.071
1.755,13830397.0,0.0793
1.7547,13828767.0,0.0793
1.7391,13724437.0,0.0843
1.7135,13580244.0,0.0927
1.7183,13657349.0,0.0915
1.7192,13671983.0,0.0912
1.7287,13829892.0,0.0889
